#Layout of plot zone full_div : ITER#1514_(F57_ref-20-NF-C0,_tau=0.45e-6,_ntime=150)                            
#R	Z	Rc	Zc	x	xs	DG_elm
 4.02315E+00	-2.54484E+00	 4.07531E+00	-2.55281E+00	 5.27597E-02	 1.05519E-01	   55
 4.12746E+00	-2.56078E+00	 4.17689E+00	-2.57922E+00	 1.58279E-01	 2.11039E-01	   56
 4.22633E+00	-2.59765E+00	 4.27097E+00	-2.62577E+00	 2.63799E-01	 3.16559E-01	   57
 4.31561E+00	-2.65390E+00	 4.35358E+00	-2.69053E+00	 3.69319E-01	 4.22078E-01	   58
 4.39155E+00	-2.72716E+00	 4.42126E+00	-2.77076E+00	 4.74837E-01	 5.27597E-01	   59
 4.45097E+00	-2.81436E+00	 4.46399E+00	-2.84579E+00	 5.61621E-01	 5.95645E-01	   60
 4.47702E+00	-2.87722E+00	 4.47977E+00	-2.88387E+00	 6.02840E-01	 6.10034E-01	  192
 4.48253E+00	-2.89052E+00	 4.48614E+00	-2.89923E+00	 6.19465E-01	 6.28897E-01	  193
 4.48975E+00	-2.90794E+00	 4.49310E+00	-2.92327E+00	 6.44589E-01	 6.60281E-01	  194
 4.49644E+00	-2.93860E+00	 4.49995E+00	-2.95708E+00	 6.79091E-01	 6.97900E-01	  195
 4.50346E+00	-2.97556E+00	 4.50725E+00	-2.99555E+00	 7.18248E-01	 7.38596E-01	  196
 4.51104E+00	-3.01554E+00	 4.51045E+00	-3.04935E+00	 7.72411E-01	 8.06226E-01	  197
 4.50985E+00	-3.08316E+00	 4.50461E+00	-3.12373E+00	 8.47133E-01	 8.88041E-01	  198
 4.49937E+00	-3.16430E+00	 4.48212E+00	-3.21684E+00	 9.43339E-01	 9.98636E-01	  199
 4.46488E+00	-3.26938E+00	 4.44353E+00	-3.31565E+00	 1.04959E+00	 1.10055E+00	  200
 4.42218E+00	-3.36192E+00	 4.40852E+00	-3.39306E+00	 1.13455E+00	 1.16856E+00	  201
 4.39486E+00	-3.42421E+00	 4.38596E+00	-3.44820E+00	 1.19415E+00	 1.21974E+00	  202
 4.37705E+00	-3.47219E+00	 4.36795E+00	-3.49452E+00	 1.24386E+00	 1.26798E+00	  203
 4.35885E+00	-3.51686E+00	 4.34822E+00	-3.53862E+00	 1.29219E+00	 1.31641E+00	  204
 4.33759E+00	-3.56038E+00	 4.32816E+00	-3.57968E+00	 1.33790E+00	 1.35939E+00	  205
 4.31873E+00	-3.59899E+00	 4.31027E+00	-3.61633E+00	 1.37868E+00	 1.39797E+00	  206
 4.30180E+00	-3.63366E+00	 4.29421E+00	-3.64920E+00	 1.41526E+00	 1.43256E+00	  207
 4.28662E+00	-3.66474E+00	 4.27980E+00	-3.67871E+00	 1.44810E+00	 1.46364E+00	  208
 4.27298E+00	-3.69267E+00	 4.26690E+00	-3.70512E+00	 1.47749E+00	 1.49134E+00	  209
 4.26082E+00	-3.71756E+00	 4.25548E+00	-3.72851E+00	 1.50352E+00	 1.51571E+00	  210
 4.25013E+00	-3.73946E+00	 4.24549E+00	-3.74895E+00	 1.52627E+00	 1.53684E+00	  211
 4.24086E+00	-3.75844E+00	 4.23693E+00	-3.76649E+00	 1.54579E+00	 1.55474E+00	  212
 4.23300E+00	-3.77453E+00	 4.22986E+00	-3.78096E+00	 1.56189E+00	 1.56905E+00	  213
 4.22672E+00	-3.78739E+00	 4.22431E+00	-3.79234E+00	 1.57456E+00	 1.58007E+00	  214
 4.22189E+00	-3.79729E+00	 4.22030E+00	-3.80053E+00	 1.58368E+00	 1.58729E+00	  215
 4.21872E+00	-3.80378E+00	 4.21794E+00	-3.80538E+00	 1.58907E+00	 1.59085E+00	  216
 4.21716E+00	-3.80698E+00	 4.21613E+00	-3.80908E+00	 1.59319E+00	 1.59553E+00	  217
 4.21510E+00	-3.81118E+00	 4.21384E+00	-3.81377E+00	 1.59841E+00	 1.60129E+00	  218
 4.21257E+00	-3.81636E+00	 4.21109E+00	-3.81940E+00	 1.60467E+00	 1.60806E+00	  219
 4.20960E+00	-3.82244E+00	 4.20796E+00	-3.82580E+00	 1.61180E+00	 1.61553E+00	  220
 4.20632E+00	-3.82916E+00	 4.20453E+00	-3.83283E+00	 1.61962E+00	 1.62370E+00	  221
 4.20274E+00	-3.83650E+00	 4.20080E+00	-3.84047E+00	 1.62812E+00	 1.63254E+00	  222
 4.19886E+00	-3.84444E+00	 4.19682E+00	-3.84861E+00	 1.63719E+00	 1.64183E+00	  223
 4.19478E+00	-3.85279E+00	 4.19267E+00	-3.85711E+00	 1.64664E+00	 1.65145E+00	  224
 4.19056E+00	-3.86143E+00	 4.18837E+00	-3.86591E+00	 1.65644E+00	 1.66142E+00	  225
 4.18619E+00	-3.87039E+00	 4.18399E+00	-3.87489E+00	 1.66643E+00	 1.67145E+00	  226
 4.18179E+00	-3.87940E+00	 4.17957E+00	-3.88394E+00	 1.67650E+00	 1.68155E+00	  227
 4.17735E+00	-3.88848E+00	 4.17723E+00	-3.88872E+00	 1.68182E+00	 1.68209E+00	   96
 4.17711E+00	-3.88897E+00	 4.22852E+00	-3.89301E+00	 1.73366E+00	 1.78523E+00	   97
 4.27993E+00	-3.89705E+00	 4.33134E+00	-3.90109E+00	 1.83679E+00	 1.88836E+00	   98
 4.38274E+00	-3.90513E+00	 4.43415E+00	-3.90916E+00	 1.93993E+00	 1.99149E+00	   99
 4.48556E+00	-3.91320E+00	 4.48322E+00	-3.94286E+00	 2.02124E+00	 2.05099E+00	  100
 4.48089E+00	-3.97252E+00	 4.46833E+00	-4.00677E+00	 2.08748E+00	 2.12396E+00	  101
 4.45577E+00	-4.04103E+00	 4.42390E+00	-4.04589E+00	 2.15619E+00	 2.18843E+00	  102
 4.39204E+00	-4.05075E+00	 4.39468E+00	-4.07994E+00	 2.21774E+00	 2.24705E+00	  103
 4.39732E+00	-4.10914E+00	 4.42308E+00	-4.09600E+00	 2.27596E+00	 2.30488E+00	  132
 4.44883E+00	-4.08286E+00	 4.47466E+00	-4.06986E+00	 2.33379E+00	 2.36271E+00	  133
 4.50050E+00	-4.05687E+00	 4.52633E+00	-4.04387E+00	 2.39162E+00	 2.42053E+00	  134
 4.55216E+00	-4.03088E+00	 4.57799E+00	-4.01789E+00	 2.44945E+00	 2.47836E+00	  135
 4.60382E+00	-4.00489E+00	 4.62965E+00	-3.99190E+00	 2.50728E+00	 2.53619E+00	  136
 4.65548E+00	-3.97891E+00	 4.68131E+00	-3.96591E+00	 2.56511E+00	 2.59402E+00	  137
 4.70714E+00	-3.95292E+00	 4.73297E+00	-3.93993E+00	 2.62293E+00	 2.65185E+00	  138
 4.75880E+00	-3.92693E+00	 4.78471E+00	-3.91409E+00	 2.68077E+00	 2.70968E+00	  139
 4.81061E+00	-3.90124E+00	 4.81630E+00	-3.88670E+00	 2.72529E+00	 2.74091E+00	  104
 4.82198E+00	-3.87216E+00	 4.79829E+00	-3.86269E+00	 2.76642E+00	 2.79193E+00	  105
 4.77460E+00	-3.85322E+00	 4.74892E+00	-3.85699E+00	 2.81789E+00	 2.84385E+00	  106
 4.72324E+00	-3.86077E+00	 4.70882E+00	-3.85622E+00	 2.85897E+00	 2.87408E+00	  107
 4.69441E+00	-3.85168E+00	 4.67636E+00	-3.82349E+00	 2.90755E+00	 2.94101E+00	  108
 4.65831E+00	-3.79531E+00	 4.64874E+00	-3.77276E+00	 2.96551E+00	 2.99001E+00	  109
 4.63917E+00	-3.75021E+00	 4.69540E+00	-3.73432E+00	 3.04845E+00	 3.10689E+00	  110
 4.75164E+00	-3.71843E+00	 4.80223E+00	-3.71639E+00	 3.15752E+00	 3.20814E+00	  111
 4.85281E+00	-3.71435E+00	 4.90263E+00	-3.72331E+00	 3.25877E+00	 3.30939E+00	  112
 4.95246E+00	-3.73227E+00	 4.99916E+00	-3.75180E+00	 3.36001E+00	 3.41064E+00	  113
 5.04587E+00	-3.77133E+00	 5.08724E+00	-3.80050E+00	 3.46126E+00	 3.51188E+00	  114
 5.12861E+00	-3.82968E+00	 5.16268E+00	-3.86712E+00	 3.56251E+00	 3.61313E+00	  115
 5.19676E+00	-3.90456E+00	 5.22120E+00	-3.94685E+00	 3.66198E+00	 3.71083E+00	  116
 5.24565E+00	-3.98914E+00	 5.22327E+00	-3.99910E+00	 3.73533E+00	 3.75983E+00	  117
 5.20088E+00	-4.00907E+00	 5.17496E+00	-4.01656E+00	 3.78681E+00	 3.81379E+00	  118
 5.14904E+00	-4.02405E+00	 5.13401E+00	-4.02243E+00	 3.82891E+00	 3.84403E+00	  119
 5.11898E+00	-4.02081E+00	 5.10227E+00	-4.00017E+00	 3.87058E+00	 3.89713E+00	  120
 5.08557E+00	-3.97953E+00	 5.05711E+00	-3.96649E+00	 3.92844E+00	 3.95974E+00	  121
 5.02865E+00	-3.95345E+00	 5.02290E+00	-3.96803E+00	 3.97542E+00	 3.99109E+00	  122
 5.01716E+00	-3.98262E+00	 5.02687E+00	-4.01004E+00	 4.02018E+00	 4.04928E+00	  148
 5.03657E+00	-4.03747E+00	 5.04612E+00	-4.06495E+00	 4.07837E+00	 4.10746E+00	  149
 5.05567E+00	-4.09243E+00	 5.06522E+00	-4.11991E+00	 4.13656E+00	 4.16565E+00	  150
 5.07477E+00	-4.14740E+00	 5.08432E+00	-4.17488E+00	 4.19474E+00	 4.22384E+00	  151
 5.09387E+00	-4.20236E+00	 5.10342E+00	-4.22984E+00	 4.25293E+00	 4.28202E+00	  152
 5.11297E+00	-4.25732E+00	 5.12252E+00	-4.28480E+00	 4.31112E+00	 4.34021E+00	  153
 5.13207E+00	-4.31228E+00	 5.14162E+00	-4.33977E+00	 4.36931E+00	 4.39840E+00	  154
 5.15117E+00	-4.36725E+00	 5.16056E+00	-4.39479E+00	 4.42750E+00	 4.45659E+00	  155
 5.16996E+00	-4.42232E+00	 5.17699E+00	-4.42489E+00	 4.46408E+00	 4.47157E+00	   73
